iter	Passed	Remaining
0	8	9072
1	17	9194
2	24	8862
3	32	8696
4	40	8659
5	47	8484
6	54	8358
7	61	8172
8	67	8050
9	74	8003
10	81	7952
11	88	7883
12	95	7847
13	102	7805
14	109	7741
15	115	7704
16	123	7702
17	129	7653
18	136	7639
19	143	7600
20	150	7586
21	157	7570
22	164	7550
23	170	7510
24	177	7490
25	184	7463
26	190	7434
27	197	7404
28	204	7414
29	225	7873
30	248	8406
31	267	8763
32	276	8757
33	287	8833
34	295	8815
35	302	8767
36	310	8731
37	317	8686
38	324	8663
39	331	8616
40	338	8574
41	345	8536
42	352	8494
43	359	8451
44	366	8424
45	373	8378
46	380	8344
47	386	8307
48	393	8264
49	399	8224
50	406	8194
51	413	8176
52	421	8156
53	427	8122
54	434	8094
55	441	8068
56	448	8037
57	455	8012
58	461	7980
59	468	7955
60	475	7928
61	481	7899
62	488	7877
63	495	7859
64	501	7830
65	508	7809
66	515	7784
67	522	7762
68	529	7747
69	538	7767
70	546	7756
71	553	7735
72	559	7711
73	566	7688
74	573	7671
75	579	7650
76	586	7629
77	593	7613
78	599	7594
79	606	7571
80	612	7549
81	619	7532
82	626	7513
83	632	7494
84	639	7480
85	645	7454
86	652	7440
87	659	7425
88	666	7413
89	673	7397
90	680	7385
91	686	7368
92	693	7354
93	700	7339
94	707	7328
95	714	7314
96	721	7303
97	728	7292
98	734	7270
99	740	7250
100	747	7238
101	753	7220
102	760	7207
103	766	7189
104	773	7173
105	779	7157
106	786	7140
107	792	7129
108	799	7114
109	806	7102
110	812	7088
111	819	7075
112	826	7061
113	832	7048
114	839	7038
115	846	7025
116	853	7020
117	860	7009
118	867	7001
119	875	6994
120	882	6983
121	889	6978
122	897	6972
123	903	6960
124	910	6949
125	917	6941
126	925	6936
127	932	6929
128	940	6922
129	947	6913
130	954	6906
131	961	6896
132	968	6890
133	976	6884
134	983	6878
135	990	6866
136	997	6858
137	1004	6852
138	1012	6845
139	1019	6835
140	1025	6824
141	1032	6814
142	1039	6803
143	1046	6797
144	1054	6794
145	1062	6787
146	1069	6778
147	1076	6770
148	1083	6763
149	1090	6754
150	1098	6748
151	1105	6742
152	1112	6734
153	1119	6726
154	1126	6717
155	1133	6709
156	1141	6701
157	1148	6695
158	1155	6687
159	1162	6679
160	1177	6715
161	1186	6714
162	1193	6707
163	1200	6698
164	1207	6691
165	1215	6684
166	1222	6674
